title,original_price,sale_price,upper,ground,len_score,foot_score,weight(g),image_url,url,silo_x,brand,silo_y,silo_kor,position1,position2,position3,feature
나이키 더 프리미어 III FG ,129000,83000,"소가죽, 합성가죽",천연잔디,3.0,2.0,251,https://www.crazy11.co.kr/shopimages/winv007/001004002954.jpg?1733717970,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=806910&xcode=257&mcode=001&scode=005&type=Y&sort=order&cur_code=257&search=&GfDT=aWp3Ulo%3D,프리미어,NIKE,premier,프리미어,,,,power
나이키 줌 머큐리얼 베이퍼 15 MDS 아카데미 FGMG ,109000,69000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,2.0,,https://www.crazy11.co.kr/shopimages/winv007/001004002896.jpg?1733718005,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=805770&xcode=257&mcode=001&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=Zmp3Ulg%3D,머큐리얼,NIKE,mercurial,머큐리얼,FW, MF,,speed
나이키 줌 머큐리얼 베이퍼 15 아카데미 FGMG ,109000,89000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,2.0,222,https://www.crazy11.co.kr/shopimages/winv007/001004002986.jpg?1733717955,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=807297&xcode=257&mcode=001&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bGt3UF8%3D,머큐리얼,NIKE,mercurial,머큐리얼,FW, MF,,speed
나이키 줌 머큐리얼 베이퍼 16 MDS 아카데미 FGMG ,119000,91000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,2.0,195,https://www.crazy11.co.kr/shopimages/winv007/001004003044.jpg?1733717888,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808761&xcode=257&mcode=001&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bmh8W15D,머큐리얼,NIKE,mercurial,머큐리얼,FW, MF,,speed
나이키 줌 머큐리얼 베이퍼 16 아카데미 FGMG ,109000,83000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,2.0,195,https://www.crazy11.co.kr/shopimages/winv007/001004003051.jpg?1736321682,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809074&xcode=257&mcode=001&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=a2p3VQ%3D%3D,머큐리얼,NIKE,mercurial,머큐리얼,FW, MF,,speed
나이키 줌 머큐리얼 베이퍼 16 아카데미 HG ,109000,81000,합성가죽,맨땅,3.0,3.0,207,https://www.crazy11.co.kr/shopimages/winv007/001004003052.jpg?1736321664,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809075&xcode=257&mcode=001&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=a213VA%3D%3D,머큐리얼,NIKE,mercurial,머큐리얼,FW, MF,,speed
나이키 줌 머큐리얼 베이퍼 16 아카데미 KM FGMG 킬리안 음바페 ,119000,93000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,2.0,195,https://www.crazy11.co.kr/shopimages/winv007/001004003025.jpg?1733717915,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808190&xcode=257&mcode=001&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bml7W1Q%3D,머큐리얼,NIKE,mercurial,머큐리얼,FW, MF,,speed
나이키 줌 머큐리얼 베이퍼 16 엘리트 AG-PRO  ,299000,299000,합성가죽,인조잔디,3.0,3.0,160,https://www.crazy11.co.kr/shopimages/winv007/001004003053.jpg?1736727160,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809133&xcode=257&mcode=001&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=Z2t3Uw%3D%3D,머큐리얼,NIKE,mercurial,머큐리얼,FW, MF,,speed
나이키 줌 머큐리얼 베이퍼 16 엘리트 FG  ,299000,299000,합성가죽,천연잔디,3.0,3.0,166,https://www.crazy11.co.kr/shopimages/winv007/001004003046.jpg?1736727128,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809031&xcode=257&mcode=001&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bm9%2FW10%3D,머큐리얼,NIKE,mercurial,머큐리얼,FW, MF,,speed
나이키 줌 머큐리얼 베이퍼 16 엘리트 FG NU1  ,309000,309000,합성가죽,천연잔디,3.0,3.0,166,https://www.crazy11.co.kr/shopimages/winv007/001004003063.jpg?1739172759,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809386&xcode=257&mcode=001&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bml9W15E,머큐리얼,NIKE,mercurial,머큐리얼,FW, MF,,speed
나이키 줌 머큐리얼 수퍼플라이 10 MDS 엘리트 FG  ,339000,339000,합성가죽,천연잔디,3.0,3.0,169,https://www.crazy11.co.kr/shopimages/winv007/001004003042.jpg?1733717888,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808725&xcode=257&mcode=001&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bm51W15M,머큐리얼,NIKE,mercurial,머큐리얼,FW, MF,,speed
