brand,silo,silo_kor,position1,position2,position3,feature
NIKE,phantom,팬텀,FW, MF,,control
NIKE,mercurial,머큐리얼,FW, MF,,speed
NIKE,tiempo,티엠포, MF,,,control
NIKE,premier,프리미어,,,,power
adidas,F50,F50,FW, MF,,speed
adidas,predator,프레데터,MF, FW, DF,control
adidas,X,엑스,FW, MF,,speed
adidas,copa,코파,FW, MF, DF,control
mizuno,alpha,알파,FW, MF,,speed
mizuno,morelia neo,모렐리아 네오,MF, FW, DF,speed
mizuno,monarcida,모나르시다, MF, DF,,comfortable
mizuno,morelia,모렐리아,MF, DF, FW,speed
PUMA,ultra,울트라, MF,,,speed
PUMA,future,퓨처,FW, MF, DF,comfortable
PUMA,king ultimate,킹 얼티메이트,,,,control
PUMA,vitoria,비토리아,,,,comfortable
PUMA,attacanto,아타칸토,,,,comfortable
PUMA,king top,킹 탑,,,,comfortable
PUMA,king platinum,킹 플래티넘,,,,speed
