,position,country,name,club,boots,age,height,name_ko,id,team_name,eng_name_x,color_x,img,boots_ko,boots_img,img_src,position_ko,country_ko
0,Midfielder,England,Adam Wharton,Crystal Palace,adidas Predator Elite FT,21,182,아담 와튼,0,크리스털 팰리스,Crystal Palace,#0055A5,https://images.fotmob.com/image_resources/playerimages/1296650.png,아디다스 프레데터 Elite FT,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8d24b59c1.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9826.png,미드필더,영국
1,Defender,Spain,Adama Boiro,Athletic Club,adidas F50 Elite,22,183,아다마 보이로,0,아틀레틱 빌바오,Athletic Club,#E2001A,https://images.fotmob.com/image_resources/playerimages/1331249.png,아디다스 F50 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed858132958.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8315.png,수비수,스페인
2,Midfielder,Germany,Adrian Beck,1. FC Heidenheim 1846,adidas Nemeziz.1,27,186,아드리안 베크,0,하이덴하임,1. FC Heidenheim 1846,#E20613,https://images.fotmob.com/image_resources/playerimages/794393.png,아디다스 네메시스.1,https://www.footballbootsdb.com/logos/boots/2023/01/63b3ec35c7d60.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/94937.png,미드필더,독일
3,Goalkeeper,Spain,Aitor Fernández,CA Osasuna,Puma Ultra 5 Ultimate,33,182,아이토르 페르난데스,0,오사수나,CA Osasuna,#AF1428,https://images.fotmob.com/image_resources/playerimages/213471.png,퓨마 울트라 5 Ultimate,https://www.footballbootsdb.com/logos/boots/2024/10/6703b0540dc41.png,https://images.fotmob.com/image_resources/logo/teamlogo/8371.png,골키퍼,스페인
4,Defender,Italy,Alessandro Vogliacco,Parma Calcio 1913,adidas Copa Pure 2 Elite,26,186,알레산드로 보글리아코,0,파르마,Parma Calcio 1913,#000000,https://images.fotmob.com/image_resources/playerimages/958401.png,아디다스 코파 퓨어 2 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed99b4c3f73.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/10167.png,수비수,이탈리아
5,Defender,Italy,Alessandro Zanoli,Genoa CFC,adidas X Crazyfast Elite LL,24,188,알레산드로 자놀리,0,제노아,Genoa CFC,CB1111,https://images.fotmob.com/image_resources/playerimages/916710.png,아디다스 X 크레이지페스트 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/04/660adfc293558.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/10233.png,수비수,이탈리아
6,Goalkeeper,Italy,Alessio Furlanetto,SS Lazio,Puma Future Ultimate,23,191,알레시오 푸를라네토,0,라치오,SS Lazio,75ACD4,https://images.fotmob.com/image_resources/playerimages/1050325.png,퓨마 퓨처 Ultimate,https://www.footballbootsdb.com/logos/boots/2023/11/6564e20619ff0.png,https://images.fotmob.com/image_resources/logo/teamlogo/8543.png,골키퍼,이탈리아
7,Forward,Italy,Alessio Zerbin,Venezia FC,adidas F50 Elite,25,182,알레시오 제르빈,0,베네치아,Venezia FC,#101010,https://images.fotmob.com/image_resources/playerimages/850295.png,아디다스 F50 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed858132958.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/7881.png,공격수,이탈리아
8,Forward,Spain,Alfon González,RC Celtic of Vigo,Nike Mercurial Vapor 16 Elite,25,172,알폰 곤잘레스,0,셀타 데 비고,RC Celtic of Vigo,#67ADE0,https://images.fotmob.com/image_resources/playerimages/926643.png,나이키 머큐리얼 베이퍼 16 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/671969c4b1e92.png,https://images.fotmob.com/image_resources/logo/teamlogo/9910.png,공격수,스페인
9,Goalkeeper,Spain,Álvaro Fernández,Sevilla FC,adidas Predator Elite,26,185,알바로 페르난데스,0,세비야,Sevilla FC,#C90F20,https://images.fotmob.com/image_resources/playerimages/796781.png,아디다스 프레데터 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8e8e33c30.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8302.png,골키퍼,스페인
